"main_category","country","days_funding","year_launched","month_launched","usd_goal","funded"
"Design","Germany",30,"2015","May",18329,"no"
"Comics","United States",30,"2013","December",18000,"no"
"Music","United States",30,"2013","July",3000,"yes"
"Games","Australia",7,"2016","March",1711,"no"
"Dance","United States",57,"2017","August",3000,"yes"
"Film & Video","United Kingdom",21,"2016","March",1396,"yes"
"Comics","United States",28,"2015","May",8000,"no"
"Technology","United States",30,"2015","August",10000,"no"
"Photography","United States",30,"2015","April",3000,"yes"
"Design","Norway",30,"2017","July",25330,"no"
"Design","United Kingdom",30,"2016","January",27913,"no"
"Technology","Germany",60,"2017","June",30548,"no"
"Technology","Germany",30,"2017","June",6110,"no"
"Design","United States",30,"2015","March",25000,"no"
"Fashion","Canada",36,"2017","May",46754,"yes"
"Food","United Kingdom",14,"2015","July",2631,"yes"
"Comics","United States",30,"2013","May",1500,"yes"
"Film & Video","Canada",30,"2014","October",2104,"no"
"Art","United States",31,"2011","March",11000,"no"
"Technology","Austria",35,"2016","June",17107,"no"
"Games","Canada",31,"2015","June",7792,"no"
"Film & Video","United States",46,"2011","March",18000,"no"
"Design","Germany",38,"2017","August",12219,"yes"
"Games","United Kingdom",29,"2014","March",1396,"yes"
"Journalism","United States",60,"2010","December",12000,"no"
"Publishing","United States",39,"2013","March",24420,"yes"
"Games","United Kingdom",30,"2013","April",4187,"no"
"Design","United States",40,"2012","May",9800,"yes"
"Music","United States",21,"2013","June",3000,"yes"
"Music","United Kingdom",40,"2014","February",3489,"yes"
"Film & Video","United States",30,"2012","June",3000,"yes"
"Publishing","United States",30,"2015","June",40000,"no"
"Music","United Kingdom",36,"2014","November",20935,"no"
"Theater","United Kingdom",30,"2015","June",2093,"yes"
"Music","United States",30,"2011","June",3000,"no"
"Comics","United Kingdom",30,"2015","January",1396,"yes"
"Games","United States",30,"2014","January",20000,"no"
"Film & Video","United States",62,"2010","October",8888,"no"
"Technology","Canada",35,"2015","March",1169,"yes"
"Film & Video","United Kingdom",30,"2017","February",12561,"yes"
"Design","United Kingdom",50,"2016","May",9072,"yes"
"Food","United States",43,"2015","February",25000,"yes"
"Food","United States",40,"2016","March",20000,"yes"
"Music","United Kingdom",20,"2014","May",1396,"yes"
"Music","Germany",30,"2016","September",2444,"no"
"Art","United States",30,"2016","January",6000,"yes"
"Theater","Mexico",30,"2016","November",1589,"no"
"Design","Australia",25,"2013","December",1293,"no"
"Film & Video","United States",30,"2011","January",8000,"no"
"Theater","United Kingdom",20,"2014","July",11165,"yes"
"Art","United Kingdom",43,"2013","August",4187,"no"
"Publishing","France",45,"2017","July",4277,"no"
"Publishing","United States",30,"2012","August",10000,"no"
"Technology","United Kingdom",35,"2015","February",13956,"no"
"Art","New Zealand",7,"2017","March",2136,"yes"
"Technology","United States",30,"2016","April",3500,"no"
"Design","Belgium",31,"2017","October",21383,"no"
"Games","United Kingdom",30,"2013","September",49266,"no"
"Film & Video","United States",30,"2017","October",13000,"yes"
"Music","United Kingdom",30,"2014","May",20935,"no"
"Design","Canada",27,"2016","November",14806,"no"
"Publishing","United States",30,"2017","August",3000,"no"
"Theater","United Kingdom",56,"2015","March",9769,"no"
"Games","Sweden",30,"2015","May",11749,"no"
"Publishing","United States",19,"2015","October",20000,"no"
"Design","Canada",30,"2014","June",21819,"yes"
"Design","United States",30,"2017","March",40000,"no"
"Fashion","United Kingdom",35,"2014","August",13956,"no"
"Technology","United States",38,"2017","October",20000,"yes"
"Publishing","United States",30,"2013","February",1000,"no"
"Fashion","Norway",46,"2016","March",12665,"no"
"Games","United States",30,"2014","June",1600,"yes"
"Film & Video","United States",30,"2013","May",40000,"no"
"Publishing","Mexico",28,"2017","October",7947,"no"
"Comics","United States",35,"2015","July",4000,"yes"
"Dance","United Kingdom",60,"2013","August",3070,"yes"
"Fashion","Ireland",30,"2017","February",1222,"yes"
"Design","United States",30,"2012","May",8500,"no"
"Design","United States",45,"2016","July",15000,"yes"
"Music","United States",30,"2010","August",10000,"no"
"Technology","United States",30,"2017","January",50000,"no"
"Art","United States",49,"2013","May",1400,"no"
"Design","France",43,"2017","March",18329,"yes"
"Technology","United States",30,"2017","January",5000,"no"
"Fashion","United States",44,"2015","January",30000,"yes"
"Film & Video","Canada",30,"2015","July",2338,"no"
"Journalism","Germany",27,"2017","January",2688,"no"
"Fashion","United States",30,"2017","October",10000,"no"
"Games","United States",23,"2015","April",20000,"yes"
"Film & Video","United States",60,"2011","November",12000,"no"
"Fashion","United States",45,"2016","August",8000,"no"
"Fashion","United States",29,"2016","November",5000,"no"
"Film & Video","United Kingdom",30,"2014","May",7676,"yes"
"Music","United States",40,"2012","November",5000,"no"
"Food","Australia",30,"2014","September",15208,"no"
"Music","United Kingdom",27,"2016","June",1047,"no"
"Design","Canada",35,"2015","June",7013,"no"
"Games","Canada",30,"2014","September",19481,"no"
"Art","United States",29,"2015","June",1500,"yes"
"Theater","United Kingdom",30,"2015","January",3489,"yes"
"Film & Video","United Kingdom",30,"2014","August",11165,"no"
"Design","United States",60,"2015","September",1500,"yes"
"Film & Video","Canada",34,"2015","February",4208,"yes"
"Games","Australia",28,"2015","August",9125,"no"
"Publishing","United States",30,"2017","October",7000,"yes"
"Games","Canada",30,"2016","November",2338,"no"
"Technology","United States",30,"2015","January",5000,"no"
"Comics","Denmark",35,"2015","February",29525,"yes"
"Design","Sweden",38,"2017","April",11749,"yes"
"Games","United Kingdom",30,"2016","June",2791,"no"
"Publishing","United States",30,"2014","July",7500,"no"
"Film & Video","United States",60,"2017","October",3000,"no"
"Food","Australia",32,"2014","July",10265,"yes"
"Publishing","United States",36,"2012","May",1500,"yes"
"Music","United States",40,"2013","March",13000,"no"
"Film & Video","United Kingdom",35,"2017","August",15352,"no"
"Technology","Canada",30,"2013","December",38962,"no"
"Design","Denmark",30,"2016","November",5741,"no"
"Design","Australia",46,"2015","October",21291,"yes"
"Food","United States",30,"2014","September",10000,"yes"
"Crafts","France",30,"2016","September",12219,"no"
"Art","United Kingdom",30,"2015","May",6280,"no"
"Crafts","Canada",60,"2017","June",1948,"yes"
"Publishing","United States",30,"2012","June",50000,"no"
"Film & Video","United States",34,"2011","May",5000,"yes"
"Comics","United States",30,"2015","June",1500,"yes"
"Film & Video","United Kingdom",30,"2017","July",9769,"yes"
"Games","Netherlands",27,"2017","April",3666,"no"
"Food","United States",30,"2014","August",10000,"no"
"Film & Video","United States",45,"2012","November",6550,"yes"
"Comics","Canada",30,"2014","November",3117,"no"
"Art","United States",30,"2017","April",3000,"no"
"Games","Belgium",28,"2016","February",12219,"yes"
"Film & Video","United Kingdom",25,"2013","November",27913,"yes"
"Fashion","United Kingdom",15,"2016","March",4187,"no"
"Games","Canada",30,"2017","April",2338,"no"
"Design","Spain",30,"2016","August",1833,"no"
"Film & Video","United States",22,"2012","May",7777,"no"
"Food","United States",30,"2016","June",11000,"no"
"Art","United Kingdom",30,"2013","November",5583,"yes"
"Publishing","United States",30,"2016","September",7000,"no"
"Theater","Canada",41,"2016","August",7792,"yes"
"Music","Mexico",40,"2016","November",3709,"no"
"Crafts","United States",30,"2017","January",5000,"no"
"Games","United States",60,"2017","January",15000,"no"
"Photography","United States",30,"2013","January",10000,"yes"
